Date,Close
2/20/2017,2.3
2/21/2017,2.27
2/22/2017,2.18
2/23/2017,2.24
2/24/2017,2.23
2/27/2017,2.21
2/28/2017,2.21
3/1/2017,2.18
3/2/2017,2.2
3/3/2017,2.28
3/6/2017,2.32
3/7/2017,2.27
3/8/2017,2.23
3/9/2017,2.27
3/10/2017,2.34
3/13/2017,2.4
3/14/2017,2.41
3/15/2017,2.43
3/16/2017,2.44
3/17/2017,2.43
3/20/2017,2.46
3/21/2017,2.57
3/22/2017,2.54
3/23/2017,2.6
3/24/2017,2.61
3/27/2017,2.69
3/28/2017,2.64
3/29/2017,2.7
3/30/2017,2.68
3/31/2017,2.74
4/3/2017,2.78
4/4/2017,2.79
4/5/2017,2.83
4/6/2017,2.96
4/7/2017,2.92
4/10/2017,2.93
4/11/2017,2.9
4/12/2017,2.92
4/13/2017,2.98
4/18/2017,2.99
4/19/2017,2.99
4/20/2017,2.93
4/21/2017,2.95
4/24/2017,2.97
4/26/2017,3.2
4/27/2017,3.28
4/28/2017,3.1
5/1/2017,3.15
5/2/2017,3.17
5/3/2017,3.15
5/4/2017,3.2
5/5/2017,3.22
5/8/2017,3.24
5/9/2017,3.34
5/10/2017,3.46
5/11/2017,3.43
5/12/2017,3.26
5/15/2017,3.23
5/16/2017,3.21
5/17/2017,3.31
5/18/2017,3.28
5/19/2017,3.27
5/22/2017,3.24
5/23/2017,3.23
5/24/2017,3.29
5/25/2017,3.21
5/26/2017,3.22
5/29/2017,3.15
5/30/2017,3.19
5/31/2017,3.18
6/1/2017,3.21
6/2/2017,3.3
6/5/2017,3.26
6/6/2017,3.19
6/7/2017,3.15
6/8/2017,3.19
6/9/2017,3.26
6/13/2017,3.27
6/14/2017,3.39
6/15/2017,3.35
6/16/2017,3.69
6/19/2017,3.93
6/20/2017,3.88
6/21/2017,3.88
6/22/2017,3.88
6/23/2017,3.9
6/26/2017,3.9
6/27/2017,3.88
6/28/2017,3.89
6/29/2017,3.84
6/30/2017,3.76
7/3/2017,3.75
7/4/2017,3.76
7/5/2017,3.69
7/6/2017,3.74
7/7/2017,3.7
7/10/2017,3.66
7/11/2017,3.77
7/12/2017,3.76
7/13/2017,3.76
7/14/2017,3.78
7/17/2017,3.77
7/18/2017,3.68
7/19/2017,3.64
7/20/2017,3.64
7/21/2017,3.64
7/24/2017,3.68
7/25/2017,3.83
7/26/2017,3.91
7/27/2017,4.2
7/28/2017,4.06
7/31/2017,4.14
8/1/2017,4.16
8/2/2017,4.15
8/3/2017,4.23
8/4/2017,4.38
8/7/2017,4.46
8/8/2017,4.42
8/9/2017,4.49
8/10/2017,4.5
8/11/2017,4.49
8/14/2017,4.55
8/15/2017,4.62
8/16/2017,4.65
8/17/2017,4.57
8/18/2017,4.62
8/21/2017,4.55
8/22/2017,4.5
8/23/2017,4.81
8/24/2017,5.03
8/25/2017,5.28
8/28/2017,5.08
8/29/2017,5.02
8/30/2017,5.04
8/31/2017,5.04
9/1/2017,5.11
9/4/2017,5.05
9/5/2017,5.06
9/6/2017,5.19
9/7/2017,5.24
9/8/2017,5.3
9/11/2017,5.53
9/12/2017,5.43
9/13/2017,5.46
9/14/2017,5.34
9/15/2017,5.17
9/18/2017,5.35
9/19/2017,5.36
9/20/2017,5.43
9/21/2017,5.5
9/22/2017,5.53
9/25/2017,5.73
9/26/2017,5.86
9/27/2017,5.99
9/28/2017,5.99
9/29/2017,5.86
10/2/2017,6.17
10/3/2017,6.01
10/4/2017,6.31
10/5/2017,6.61
10/6/2017,6.56
10/9/2017,6.71
10/10/2017,6.91
10/11/2017,6.97
10/12/2017,7.05
10/13/2017,7.03
10/16/2017,7
10/17/2017,7.18
10/18/2017,7.18
10/19/2017,7.1
10/20/2017,7.13
10/23/2017,7.25
10/24/2017,7.35
10/25/2017,7.52
10/26/2017,7.5
10/27/2017,7.67
10/30/2017,7.76
10/31/2017,7.62
11/1/2017,7.16
11/2/2017,7.58
11/3/2017,7.28
11/6/2017,7.15
11/7/2017,6.8
11/8/2017,6.73
11/9/2017,6.88
11/10/2017,6.7
11/13/2017,6.91
11/14/2017,6.78
11/15/2017,6.84
11/16/2017,7.02
11/17/2017,7.18
11/20/2017,7.07
11/21/2017,7.46
11/22/2017,7.93
11/23/2017,7.6
11/24/2017,7.51
11/27/2017,7.68
11/28/2017,7.63
11/29/2017,7.58
11/30/2017,7.59
12/1/2017,7.51
12/4/2017,7.48
12/5/2017,7.26
12/6/2017,7.36
12/7/2017,7.14
12/8/2017,7.17
12/11/2017,7.09
12/12/2017,7.1
12/13/2017,7.07
12/14/2017,7.31
12/15/2017,7.25
12/18/2017,7.31
12/19/2017,7.39
12/20/2017,7.24
12/21/2017,7.38
12/22/2017,7.49
12/27/2017,7.42
12/28/2017,7.4
12/29/2017,7.37
1/2/2018,7.5
1/3/2018,7.43
1/4/2018,7.5
1/5/2018,7.55
1/8/2018,7.68
1/9/2018,7.61
1/10/2018,7.35
1/11/2018,7.01
1/12/2018,7.02
1/15/2018,6.97
1/16/2018,7.42
1/17/2018,7.6
1/18/2018,7.54
1/19/2018,7.93
1/22/2018,8.04
1/23/2018,8.17
1/24/2018,8.4
1/25/2018,8.41
1/29/2018,8.3
1/30/2018,8.04
1/31/2018,8.29
2/1/2018,8.43
2/2/2018,8.57
2/5/2018,8.25
2/6/2018,7.76
2/7/2018,8.16
2/8/2018,8.21
2/9/2018,8.14
2/12/2018,8.23
2/13/2018,8.37
2/14/2018,8.31
2/15/2018,8.52
2/16/2018,8.59
2/19/2018,8.57
2/20/2018,8.71
2/21/2018,11.3
2/22/2018,12.1
2/23/2018,11.77
2/26/2018,12.2
2/27/2018,12.09
2/28/2018,12.23
3/1/2018,12.23
3/2/2018,12.11
3/5/2018,11.92
3/6/2018,11.87
3/7/2018,11.7
3/8/2018,12.25
3/9/2018,12.37
3/12/2018,12.72
3/13/2018,13.06
3/14/2018,12.9
3/15/2018,12.92
3/16/2018,12.74
3/19/2018,12.93
3/20/2018,12.7
3/21/2018,13.17
3/22/2018,13.06
3/23/2018,12.74
3/26/2018,12.44
3/27/2018,13.04
3/28/2018,12.06
3/29/2018,11.46
4/3/2018,11.6
4/4/2018,12.19
4/5/2018,12.09
4/6/2018,12.12
4/9/2018,12.18
4/10/2018,12.38
4/11/2018,12.11
4/12/2018,11.9
4/13/2018,11.6
4/16/2018,11.7
4/17/2018,11.4
4/18/2018,11.59
4/19/2018,11.9
4/20/2018,11.94
4/23/2018,11.58
4/24/2018,11.26
4/26/2018,11.2
4/27/2018,11.18
4/30/2018,11.31
5/1/2018,11.27
5/2/2018,11.7
5/3/2018,11.7
5/4/2018,12.02
5/7/2018,12.21
5/8/2018,11.79
5/9/2018,11.98
5/10/2018,11.98
5/11/2018,11.94
5/14/2018,12.22
5/15/2018,12.13
5/16/2018,10.54
5/17/2018,10.75
5/18/2018,10.26
5/21/2018,10.07
5/22/2018,9.86
5/23/2018,9.3
5/24/2018,9.83
5/25/2018,10
5/28/2018,9.89
5/29/2018,9.61
5/30/2018,9.94
5/31/2018,9.93
6/1/2018,9.61
6/4/2018,9.42
6/5/2018,9.99
6/6/2018,9.94
6/7/2018,10.39
6/8/2018,10.56
6/12/2018,10.88
6/13/2018,10.52
6/14/2018,10.65
6/15/2018,10.97
6/18/2018,10.86
6/19/2018,10.76
6/20/2018,10.99
6/21/2018,11.24
6/22/2018,10.97
6/25/2018,10.89
6/26/2018,10.85
6/27/2018,10.87
6/28/2018,10.61
6/29/2018,10.52
7/2/2018,10.37
7/3/2018,10.72
7/4/2018,10.52
7/5/2018,10.51
7/6/2018,10.51
7/9/2018,10.44
7/10/2018,10.61
7/11/2018,10.82
7/12/2018,10.5
7/13/2018,10.29
7/16/2018,10.28
7/17/2018,10.09
7/18/2018,10
7/19/2018,9.81
7/20/2018,9.71
7/23/2018,9.58
7/24/2018,9.77
7/25/2018,9.94
7/26/2018,9.9
7/27/2018,9.91
7/30/2018,9.76
7/31/2018,9.6
8/1/2018,9.47
8/2/2018,9.56
8/3/2018,9.64
8/6/2018,9.59
8/7/2018,9.59
8/8/2018,9.37
8/9/2018,9.4
8/10/2018,9.78
8/13/2018,9.76
8/14/2018,10.09
8/15/2018,10.06
8/16/2018,9.86
8/17/2018,9.78
8/20/2018,9.97
8/21/2018,10.09
8/22/2018,10.6
8/23/2018,10.82
8/24/2018,10.79
8/27/2018,11.18
8/28/2018,11.44
8/29/2018,11.89
8/30/2018,11.65
8/31/2018,11.5
9/3/2018,11.61
9/4/2018,11.66
9/5/2018,11.25
9/6/2018,10.82
9/7/2018,10.58
9/10/2018,10.62
9/11/2018,11.01
9/12/2018,10.93
9/13/2018,10.93
9/14/2018,10.95
9/17/2018,11.18
9/18/2018,11.12
9/19/2018,11.24
9/20/2018,11.33
9/21/2018,11.3
9/24/2018,10.87
9/25/2018,10.81
9/26/2018,10.7
9/27/2018,10.55
9/28/2018,10.24
10/1/2018,10.35
10/2/2018,10.31
10/3/2018,9.97
10/4/2018,9.54
10/5/2018,9.64
10/8/2018,9.61
10/9/2018,9.31
10/10/2018,9.25
10/11/2018,8.34
10/12/2018,8.94
10/15/2018,8.88
10/16/2018,9.03
10/17/2018,9.8
10/18/2018,9.6
10/19/2018,9.5
10/22/2018,9.45
10/23/2018,9.47
10/24/2018,9.3
10/25/2018,9.1
10/26/2018,9.05
10/29/2018,9.17
10/30/2018,9.7
10/31/2018,9.72
11/1/2018,10
11/2/2018,9.99
11/5/2018,9.5
11/6/2018,9.69
11/7/2018,9.58
11/8/2018,9.74
11/9/2018,9.7
11/12/2018,9.89
11/13/2018,9.58
11/14/2018,9.36
11/15/2018,9.55
11/16/2018,9.56
11/19/2018,9.8
11/20/2018,9.68
11/21/2018,9.35
11/22/2018,9.9
11/23/2018,9.76
11/26/2018,9.58
11/27/2018,9.75
11/28/2018,10.15
11/29/2018,10.22
11/30/2018,9.81
12/3/2018,10.33
12/4/2018,10.53
12/5/2018,10.43
12/6/2018,10.27
12/7/2018,10.41
12/10/2018,10.11
12/11/2018,10.21
12/12/2018,10.39
12/13/2018,10.65
12/14/2018,10.15
12/17/2018,10.5
12/18/2018,10.36
12/19/2018,10.28
12/20/2018,10.17
12/21/2018,10.01
12/24/2018,10.06
12/27/2018,10.4
12/28/2018,10.5
12/31/2018,10.32
1/2/2019,10.4
1/3/2019,10.5
1/4/2019,10.1
1/7/2019,10.48
1/8/2019,10.51
1/9/2019,10.8
1/10/2019,10.8
1/11/2019,10.71
1/14/2019,10.79
1/15/2019,11.21
1/16/2019,11.42
1/17/2019,11.84
1/18/2019,11.75
1/21/2019,11.75
1/22/2019,11.81
1/23/2019,11.79
1/24/2019,11.7
1/25/2019,11.66
1/29/2019,11.62
1/30/2019,11.58
1/31/2019,12.08
2/1/2019,12.21
2/4/2019,12.09
2/5/2019,12.17
2/6/2019,12.43
2/7/2019,12.54
2/8/2019,12.47
2/11/2019,12.84
2/12/2019,12.78
2/13/2019,13
2/14/2019,12.74
2/15/2019,12.25
2/18/2019,12.68
2/19/2019,12.34
2/20/2019,13.64
2/21/2019,14.1
2/22/2019,13.93
2/25/2019,14.05
2/26/2019,14.11
2/27/2019,13.98
2/28/2019,13.77
3/1/2019,13.85
3/4/2019,14.07
3/5/2019,14.27
3/6/2019,14.16
3/7/2019,14.05
3/8/2019,14.04
3/11/2019,13.87
3/12/2019,13.79
3/13/2019,13.76
3/14/2019,13.72
3/15/2019,13.4
3/18/2019,13.32
3/19/2019,13.15
3/20/2019,13.11
3/21/2019,13.34
3/22/2019,13.41
3/25/2019,13.34
3/26/2019,13.44
3/27/2019,13.48
3/28/2019,13.55
3/29/2019,13.62
4/1/2019,13.67
4/2/2019,14.01
4/3/2019,14.07
4/4/2019,14.04
4/5/2019,13.75
4/8/2019,13.84
4/9/2019,13.81
4/10/2019,13.78
4/11/2019,13.71
4/12/2019,14.04
4/15/2019,14.61
4/16/2019,14.99
4/17/2019,14.93
4/18/2019,14.65
4/23/2019,15.09
4/24/2019,15.48
4/26/2019,15.55
4/29/2019,15.87
4/30/2019,15.96
5/1/2019,15.43
